condition,scope,n_probes,l1_correct,l2_correct,l3_correct,dlr,threshold,threshold_met
untrained,all,36,2,18,11,0.2870,,
untrained,expressible,32,2,17,11,0.3125,,
lora,all,36,32,20,21,0.6759,trained dlr >= 0.70,
lora,expressible,32,28,19,17,0.6667,trained dlr >= 0.70,
strips,all,36,34,33,33,0.9259,,
strips,expressible,32,30,32,29,0.9479,,
untrained,cat,12,2,3,4,0.2500,,
untrained,echo,12,0,10,7,0.4722,,
untrained,ls,12,0,5,0,0.1389,,
lora,cat,12,12,3,5,0.5556,,
lora,echo,12,8,12,4,0.6667,,
lora,ls,12,12,5,12,0.8056,,
strips,cat,12,12,12,10,0.9444,,
strips,echo,12,10,12,11,0.9167,,
strips,ls,12,12,9,12,0.9167,,

m2_pass,untrained_dlr,lora_dlr,strips_dlr,parse_failures_untrained,parse_failures_lora,criterion
False,0.2870,0.6759,0.9259,0,0,trained held-out DLR >= 0.70 (baseline ~0.3 from M1)
