condition,variant,size,h_plan,lam,t_reeval,n_seeds,scr,fht,dead_loop_rate,new_states_per_step,success_rate,pe_nav,pe_search,pe_acquire,dscr_vs_flat,dfht_vs_flat,dscr_vs_random,dfht_vs_random
flat_count,A,10,50,1.0,,12,0.445,105.2,0.0647,0.2382,0.4167,,,,0.0,0.0,,
layered_lam0.5_h100_t10,A,10,100,0.5,10,12,0.7117,106.33,0.1604,0.696,1.0,0.9734,,,0.2667,1.13,0.155,-22.85
layered_lam0.5_h100_t25,A,10,100,0.5,25,12,0.7117,106.33,0.1604,0.696,1.0,0.9734,,,0.2667,1.13,0.155,-22.85
layered_lam0.5_h100_tnever,A,10,100,0.5,,12,0.7117,106.33,0.1604,0.696,1.0,0.9734,,,0.2667,1.13,0.155,-22.85
layered_lam0.5_h20_t10,A,10,20,0.5,10,12,0.5992,81.67,0.1761,0.741,1.0,0.9454,,,0.1542,-23.53,0.0425,-47.52
layered_lam0.5_h20_t25,A,10,20,0.5,25,12,0.5992,81.67,0.1761,0.741,1.0,0.9454,,,0.1542,-23.53,0.0425,-47.52
layered_lam0.5_h20_tnever,A,10,20,0.5,,12,0.5992,81.67,0.1761,0.741,1.0,0.9454,,,0.1542,-23.53,0.0425,-47.52
layered_lam0.5_h50_t10,A,10,50,0.5,10,12,0.7117,106.5,0.1602,0.6954,1.0,0.972,,,0.2667,1.3,0.155,-22.68
layered_lam0.5_h50_t25,A,10,50,0.5,25,12,0.7117,106.5,0.1602,0.6954,1.0,0.972,,,0.2667,1.3,0.155,-22.68
layered_lam0.5_h50_tnever,A,10,50,0.5,,12,0.7117,106.5,0.1602,0.6954,1.0,0.972,,,0.2667,1.3,0.155,-22.68
layered_lam0_h100_t10,A,10,100,0.0,10,12,0.7117,106.33,0.1604,0.696,1.0,0.9734,,,0.2667,1.13,0.155,-22.85
layered_lam0_h100_t25,A,10,100,0.0,25,12,0.7117,106.33,0.1604,0.696,1.0,0.9734,,,0.2667,1.13,0.155,-22.85
layered_lam0_h100_tnever,A,10,100,0.0,,12,0.7117,106.33,0.1604,0.696,1.0,0.9734,,,0.2667,1.13,0.155,-22.85
layered_lam0_h20_t10,A,10,20,0.0,10,12,0.5933,80.0,0.1779,0.7456,1.0,0.9458,,,0.1483,-25.2,0.0367,-49.18
layered_lam0_h20_t25,A,10,20,0.0,25,12,0.6283,89.0,0.1774,0.729,1.0,0.9433,,,0.1833,-16.2,0.0717,-40.18
layered_lam0_h20_tnever,A,10,20,0.0,,12,0.5933,80.0,0.1779,0.7456,1.0,0.9458,,,0.1483,-25.2,0.0367,-49.18
layered_lam0_h50_t10,A,10,50,0.0,10,12,0.6967,102.33,0.1541,0.7039,1.0,0.9739,,,0.2517,-2.87,0.14,-26.85
